#{"t_start": 1782754480.0564094, "env_id": null}
r,l,t
294.8899,100,2.310408
243.60365,100,2.310464
307.4432,100,2.310479
292.23376,100,2.310491
261.42877,100,3.88203
241.4484,100,3.882077
269.51193,100,3.882091
232.99503,100,3.882101
230.02533,100,10.21278
157.04968,100,10.212826
283.42828,100,10.212841
277.16397,100,10.212863
178.22789,100,15.469751
153.23766,100,15.469798
253.37025,100,15.469812
142.68398,100,15.469822
253.20865,100,21.407209
284.79938,100,21.407258
277.96286,100,21.407272
154.43016,100,21.407281
108.08343,100,26.634161
220.13692,100,26.634212
162.68091,100,26.634226
145.15666,100,26.634235
245.94711,100,31.75972
185.80293,100,31.759768
221.14914,100,31.759782
189.57661,100,31.759793
177.6024,100,36.955857
208.43079,100,36.955905
223.02002,100,36.95592
243.02296,100,36.95593
105.33951,100,42.464896
157.39317,100,42.464956
212.79465,100,42.464971
172.18477,100,42.46498
164.31894,100,47.462618
173.71532,100,47.462666
241.2056,100,47.46268
245.71716,100,47.46269
284.51645,100,52.828563
202.41565,100,52.828612
214.02327,100,52.828626
162.92525,100,52.828636
202.12712,100,58.05635
288.35492,100,58.056397
299.83185,100,58.056411
289.64084,100,58.056422
308.02872,100,63.777327
247.77661,100,63.777375
189.37585,100,63.777388
212.72627,100,63.777398
177.4333,100,68.802635
182.7038,100,68.802682
267.6132,100,68.802696
119.45399,100,68.802706
168.77927,100,74.062479
194.33191,100,74.062528
241.78958,100,74.062542
234.03374,100,74.062552
163.94168,100,79.342849
280.5296,100,79.342898
170.86623,100,79.342912
247.77008,100,79.342922
148.67557,100,85.001357
236.71721,100,85.001406
196.96043,100,85.00142
186.66888,100,85.00143
247.66302,100,90.079755
302.43628,100,90.079804
151.22597,100,90.079818
169.07672,100,90.079827
161.504,100,95.111578
248.93208,100,95.111628
172.45323,100,95.111643
299.7445,100,95.111654
211.76459,100,100.463171
224.45726,100,100.463222
185.67397,100,100.463236
157.05202,100,100.463246
150.90779,100,105.962496
218.73395,100,105.962545
168.18488,100,105.962559
103.20442,100,105.962568
84.2536,100,111.200488
185.48033,100,111.200535
162.94342,100,111.200549
260.85535,100,111.200559
231.82281,100,116.417973
186.60658,100,116.41802
162.13062,100,116.418034
190.22954,100,116.418044
283.71173,100,121.422978
167.26558,100,121.423026
155.26886,100,121.42304
194.20119,100,121.42305
250.18091,100,127.125495
224.39864,100,127.125542
154.72113,100,127.125556
184.86166,100,127.125566
198.80872,100,132.442067
228.07072,100,132.442116
224.63628,100,132.44213
178.89767,100,132.44214
158.41756,100,137.663619
204.04405,100,137.663667
188.71281,100,137.663681
252.7754,100,137.663691
221.38814,100,142.957682
191.32391,100,142.957731
159.49077,100,142.957745
138.86069,100,142.957755
213.77762,100,148.783776
225.35117,100,148.783824
189.97101,100,148.783839
281.67905,100,148.78385
260.4185,100,153.855006
181.69307,100,153.855053
197.66597,100,153.855066
234.53957,100,153.855077
275.21283,100,158.917759
273.37643,100,158.917808
289.6953,100,158.917822
215.46292,100,158.917833
140.53075,100,163.967379
270.0236,100,163.967428
268.34973,100,163.967443
278.0132,100,163.967453
155.93408,100,169.827843
267.08084,100,169.827893
185.12837,100,169.827908
262.79492,100,169.827918
262.88593,100,175.186059
252.96266,100,175.186107
208.82544,100,175.186121
286.48767,100,175.186131
248.29099,100,180.505022
294.52362,100,180.505073
200.32947,100,180.505088
272.24658,100,180.505098
244.88095,100,185.766285
250.08528,100,185.766333
185.54935,100,185.766348
248.31465,100,185.766359
249.41869,100,191.36211
272.12363,100,191.362159
291.6208,100,191.362174
224.58383,100,191.362184
190.67372,100,196.585954
265.65668,100,196.586003
235.68878,100,196.586017
284.20596,100,196.586028
194.70253,100,201.594605
268.18167,100,201.594656
203.80914,100,201.59467
144.95209,100,201.594681
284.55975,100,206.838967
263.42386,100,206.839015
174.70328,100,206.83903
208.35397,100,206.839041
288.47217,100,212.672689
290.18384,100,212.672745
284.8569,100,212.67276
284.15335,100,212.672771
231.62158,100,217.907543
251.09583,100,217.907593
263.5365,100,217.907608
284.12112,100,217.907619
288.72433,100,223.150822
275.72348,100,223.150871
295.56787,100,223.150885
260.76028,100,223.150896
186.19666,100,228.234645
279.18466,100,228.234693
226.36247,100,228.234707
228.06393,100,228.234718
191.7554,100,234.024448
281.5342,100,234.024498
208.2805,100,234.024511
249.5564,100,234.024521
286.8099,100,239.358796
237.55379,100,239.358846
282.35992,100,239.35886
291.90955,100,239.358871
256.5407,100,244.687864
155.9435,100,244.687913
278.3691,100,244.687927
260.78262,100,244.687937
265.34695,100,249.906638
294.6782,100,249.906687
282.84543,100,249.906702
270.26587,100,249.906712
274.45456,100,255.787394
263.38324,100,255.787444
276.90356,100,255.787459
214.5376,100,255.787469
270.55453,100,261.162771
285.4709,100,261.16282
280.54034,100,261.162835
231.38455,100,261.162845
238.15004,100,266.400543
290.0663,100,266.400595
272.8938,100,266.400609
217.15903,100,266.40062
237.81548,100,271.755716
259.81943,100,271.755767
271.06644,100,271.755781
287.54642,100,271.755792
255.80946,100,277.377089
298.17743,100,277.377138
224.34325,100,277.377153
293.005,100,277.377163
288.74045,100,282.729837
223.05013,100,282.729887
228.45494,100,282.729901
288.35757,100,282.729912
267.0684,100,287.766906
238.35924,100,287.766955
280.11713,100,287.76697
304.77295,100,287.766981
272.40213,100,293.008363
225.91144,100,293.008413
282.09497,100,293.008427
288.03778,100,293.008438
265.7274,100,298.658762
238.60573,100,298.658812
263.99094,100,298.658826
272.64185,100,298.658836
281.13507,100,303.723325
256.64523,100,303.723375
197.85352,100,303.723389
261.9313,100,303.723399
290.80484,100,308.96872
289.4082,100,308.96877
288.23,100,308.968784
154.51463,100,308.968795
293.4214,100,314.316079
256.98233,100,314.316128
303.5352,100,314.316142
296.0756,100,314.316153
293.77234,100,320.261063
253.7137,100,320.261112
316.9711,100,320.261126
271.03494,100,320.261136
289.99405,100,325.564199
276.57608,100,325.564252
291.71936,100,325.564266
288.27347,100,325.564276
262.90176,100,330.559158
301.60556,100,330.559209
224.31767,100,330.559223
271.60086,100,330.559233
275.28314,100,335.649519
304.70297,100,335.649569
248.5621,100,335.649583
258.27267,100,335.649594
308.24146,100,341.594812
249.37733,100,341.594862
297.9749,100,341.594876
272.40738,100,341.594886
290.95175,100,346.969282
254.68427,100,346.969332
274.27612,100,346.969347
301.23703,100,346.969357
307.95746,100,352.458647
281.43317,100,352.458697
347.58096,100,352.458712
244.08185,100,352.458722
253.79114,100,357.519711
285.48807,100,357.519761
272.53546,100,357.519776
300.85367,100,357.519786
282.0623,100,363.233772
290.64838,100,363.233852
282.13486,100,363.233867
307.77768,100,363.233878
339.00232,100,368.449916
338.42175,100,368.449966
258.53928,100,368.449981
291.69345,100,368.449991
312.83493,100,373.721215
279.03116,100,373.721264
289.4266,100,373.721278
294.73215,100,373.721288
248.69437,100,378.951167
328.3019,100,378.951217
325.7723,100,378.951231
288.93594,100,378.951241
303.22577,100,384.853721
306.3767,100,384.853769
338.40063,100,384.853783
296.56815,100,384.853793
287.17737,100,389.853164
329.936,100,389.853213
294.31,100,389.853229
270.377,100,389.853239
307.13776,100,395.406279
336.32285,100,395.406333
224.65587,100,395.406349
248.39755,100,395.406359
317.25278,100,400.836087
213.83734,100,400.836136
337.43112,100,400.836151
274.63513,100,400.836162
281.45654,100,406.750655
307.6199,100,406.750704
345.2598,100,406.750718
333.70346,100,406.750729
324.55917,100,411.992874
280.57562,100,411.992926
305.2092,100,411.99294
339.93448,100,411.992951
338.03003,100,417.242626
287.82108,100,417.242678
338.30173,100,417.242693
278.9325,100,417.242703
176.01321,100,422.355223
242.74599,100,422.355271
313.68863,100,422.355285
282.11612,100,422.355295
275.8832,100,428.016249
344.2949,100,428.016299
249.80702,100,428.016313
162.84476,100,428.016324
172.96825,100,433.177191
192.10548,100,433.177241
222.38983,100,433.177255
112.011925,100,433.177265
201.05888,100,438.525189
330.27258,100,438.52524
293.08466,100,438.525255
281.08792,100,438.525265
293.86105,100,443.515209
287.47043,100,443.515258
264.31454,100,443.515272
283.87503,100,443.515283
295.02103,100,449.448838
292.48178,100,449.44893
275.07822,100,449.448944
245.09615,100,449.448955
273.02234,100,454.714908
212.95517,100,454.714961
279.82672,100,454.714977
317.4898,100,454.714987
304.77994,100,460.087146
296.10037,100,460.087196
287.47983,100,460.08721
295.6491,100,460.08722
293.52652,100,465.333152
250.04155,100,465.333203
285.1724,100,465.333218
284.7887,100,465.333228
274.02573,100,471.22557
286.93155,100,471.22562
200.89226,100,471.225633
292.35477,100,471.225644
331.44998,100,476.635737
284.2101,100,476.635787
193.03966,100,476.635802
286.25705,100,476.635812
270.5707,100,481.70062
293.44495,100,481.700671
287.4152,100,481.700686
269.92422,100,481.700696
309.198,100,486.642871
289.8336,100,486.64292
269.99728,100,486.642934
291.62234,100,486.642944
291.2719,100,492.469429
288.75403,100,492.46948
292.141,100,492.469494
254.38216,100,492.469504
254.9982,100,497.50105
234.78712,100,497.501099
293.1825,100,497.501114
300.74612,100,497.501124
312.56705,100,502.972447
353.76724,100,502.972498
267.81302,100,502.972513
313.18417,100,502.972523
282.04953,100,508.274935
277.8626,100,508.274984
288.97784,100,508.274998
271.92236,100,508.27501
294.63403,100,514.256824
284.60458,100,514.256888
295.55682,100,514.256905
277.10703,100,514.256916
289.34692,100,519.588959
290.1865,100,519.589007
279.1377,100,519.589021
288.32974,100,519.589031
315.99762,100,524.832793
314.3501,100,524.83284
301.89783,100,524.832864
273.69644,100,524.832876
307.69202,100,530.104712
279.4671,100,530.104759
330.08514,100,530.104774
309.05545,100,530.104784
340.23193,100,535.711917
271.9864,100,535.711967
300.98038,100,535.711981
305.78235,100,535.711991
234.85484,100,540.987714
276.31046,100,540.987764
313.49585,100,540.987779
303.75974,100,540.98779
343.91125,100,545.987068
289.5776,100,545.987117
299.9548,100,545.987131
297.75433,100,545.987141
316.9854,100,551.175833
312.89902,100,551.175883
313.24673,100,551.175898
328.93774,100,551.175908
325.59424,100,557.095968
318.90598,100,557.096017
234.14757,100,557.096031
329.65396,100,557.096042
311.44315,100,562.759898
324.5534,100,562.759947
302.54828,100,562.759961
343.96292,100,562.759972
336.07202,100,568.004835
277.80057,100,568.004889
296.62167,100,568.004905
342.24338,100,568.004917
362.45944,100,574.344764
276.43387,100,574.344814
364.57928,100,574.344829
331.5571,100,574.344841
320.68546,100,580.365817
348.11923,100,580.365865
342.11325,100,580.36588
362.1623,100,580.36589
295.95306,100,585.824659
321.5334,100,585.824709
367.40024,100,585.824724
299.79465,100,585.824734
287.2514,100,591.365599
329.49957,100,591.365649
344.44885,100,591.365663
331.49243,100,591.365674
350.4335,100,596.681227
342.71854,100,596.681277
329.27747,100,596.681292
329.35428,100,596.681302
327.39835,100,602.704604
279.07703,100,602.704653
334.57474,100,602.704667
331.3586,100,602.704678
298.40482,100,607.840911
299.39185,100,607.840961
274.15482,100,607.840976
237.52103,100,607.840987
226.00142,100,612.997163
273.55838,100,612.997216
295.97183,100,612.997232
284.69177,100,612.997242
310.18054,100,618.437976
316.90524,100,618.438024
330.29205,100,618.438037
331.65643,100,618.438047
