time/episodes,rollout/ep_rew_mean,rollout/success_rate,rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,train/std,train/actor_loss,train/critic_loss,train/learning_rate,train/n_updates,train/ent_coef_loss,train/ent_coef
4,284.54263,0.0,100.0,249,1,400,0.025476466864347458,,,,,,
8,267.94434,0.0,100.0,251,3,800,0.025476466864347458,,,,,,
12,257.60184,0.0,100.0,126,9,1200,0.025504691526293755,-4.628798067569733,0.1662372536957264,0.0003,96,-17.56498682498932,0.19577661156654358
16,238.67136,0.0,100.0,108,14,1600,0.025515548884868622,-5.578372806310654,0.21523729152977467,0.0003,192,-18.917071044445038,0.18892970588058233
20,239.45715,0.0,100.0,96,20,2000,0.025522608309984207,-6.911072790622711,0.2716587670147419,0.0003,304,-19.37858533859253,0.18208023719489574
24,226.05003,0.0,100.0,92,25,2400,0.025525905191898346,-7.705193400382996,0.2963241059333086,0.0003,400,-19.202596187591553,0.17651349399238825
28,223.84558,0.0,100.0,90,31,2800,0.025531064718961716,-8.75417971611023,0.4868380296975374,0.0003,496,-19.526804208755493,0.17124204244464636
32,222.49228,0.0,100.0,88,36,3200,0.025535698980093002,-10.05756026506424,0.4824791233986616,0.0003,592,-20.34053659439087,0.16621847450733185
36,215.7629,0.0,100.0,86,41,3600,0.025541337206959724,-11.172860503196716,0.6930551081895828,0.0003,704,-21.09717583656311,0.1605405891314149
40,214.81055,0.0,100.0,85,46,4000,0.025543037801980972,-12.33977621793747,0.7877498529851437,0.0003,800,-20.956963300704956,0.1558838840574026
44,214.91597,0.0,100.0,84,52,4400,0.025545887649059296,-13.463680684566498,0.9610658511519432,0.0003,896,-21.466527223587036,0.1513489605858922
48,219.50537,0.0,100.0,83,57,4800,0.02554861269891262,-14.65632712841034,0.9595778919756413,0.0003,992,-21.711107969284058,0.1470069494098425
52,221.04164,0.0,100.0,82,63,5200,0.02555273100733757,-16.000855445861816,1.0985035821795464,0.0003,1104,-21.42549467086792,0.1421180535107851
56,218.59587,0.0,100.0,82,68,5600,0.02555706351995468,-16.87335443496704,1.2015743888914585,0.0003,1200,-22.88232445716858,0.1380857527256012
