time/episodes,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/std,rollout/ep_len_mean,time/total_timesteps,rollout/success_rate,train/n_updates,train/actor_loss,train/learning_rate,train/ent_coef_loss,train/ent_coef,train/critic_loss
4,327,258.92447,1,0.025476466864347458,100.0,400,0.0,,,,,,
8,360,256.03268,2,0.025476466864347458,100.0,800,0.0,,,,,,
12,183,248.86133,6,0.02549799717962742,100.0,1200,0.0,96,-4.2866321206092834,0.0003,-16.56928116083145,0.19593233428895473,0.3114036228507757
16,165,237.17747,9,0.02550877444446087,100.0,1600,0.0,192,-5.396323621273041,0.0003,-17.970718443393707,0.18881711829453707,0.2858883626759052
20,152,227.54306,13,0.025515658780932426,100.0,2000,0.0,304,-6.42075127363205,0.0003,-18.449472904205322,0.18171641696244478,0.3536517098546028
24,147,222.32605,16,0.025519009679555893,100.0,2400,0.0,400,-7.551876246929169,0.0003,-19.70487928390503,0.17610487528145313,0.4148166459053755
28,143,218.87471,19,0.02552192658185959,100.0,2800,0.0,496,-8.547653615474701,0.0003,-20.12817406654358,0.1707964576780796,0.5973170436918736
32,140,217.0559,22,0.025524737313389778,100.0,3200,0.0,592,-9.606765806674957,0.0003,-20.32454514503479,0.16569813806563616,0.5585214365273714
36,136,213.31133,26,0.02552715316414833,100.0,3600,0.0,704,-10.819971680641174,0.0003,-21.176284670829773,0.1600310541689396,0.7197625376284122
40,136,212.16829,29,0.025529177859425545,100.0,4000,0.0,800,-11.883580923080444,0.0003,-21.00517249107361,0.1553407646715641,0.8458166047930717
44,135,216.12935,32,0.025530824437737465,100.0,4400,0.0,896,-13.045791625976562,0.0003,-20.99947988986969,0.1508218590170145,0.8615522254258394
48,134,214.02588,35,0.025533903390169144,100.0,4800,0.0,992,-14.1679407954216,0.0003,-22.36390793323517,0.14642374590039253,1.2751692160964012
52,131,213.32512,39,0.02553621493279934,100.0,5200,0.0,1104,-15.382698655128479,0.0003,-22.31296706199646,0.14151340164244175,1.3454584814608097
56,131,212.73552,42,0.025538092479109764,100.0,5600,0.0,1200,-16.496324062347412,0.0003,-22.102396726608276,0.13747229240834713,1.3527550101280212
60,130,213.16277,45,0.0255410298705101,100.0,6000,0.0,1296,-17.51999807357788,0.0003,-23.338435411453247,0.13357253186404705,1.2120593376457691
64,130,213.70149,48,0.025543086230754852,100.0,6400,0.0,1392,-18.371938705444336,0.0003,-22.340922713279724,0.1297819623723626,1.5376707799732685
68,129,209.91267,52,0.025545896962285042,100.0,6800,0.0,1504,-19.398550987243652,0.0003,-22.435439825057983,0.12552976701408625,1.710743710398674
72,129,210.89459,55,0.025547755882143974,100.0,7200,0.0,1600,-20.43237853050232,0.0003,-23.877472639083862,0.12193641113117337,2.4818362444639206
76,129,212.92346,58,0.02555019222199917,100.0,7600,0.0,1696,-21.681357622146606,0.0003,-23.778458833694458,0.11848379485309124,1.8327260985970497
80,128,212.43091,62,0.025551902130246162,100.0,8000,0.0,1792,-22.554487705230713,0.0003,-24.223469614982605,0.1151345418766141,2.1336941346526146
84,128,212.37859,65,0.02555595152080059,100.0,8400,0.0,1904,-23.91468369960785,0.0003,-24.94070863723755,0.11138677643612027,2.5341357961297035
88,127,211.98575,68,0.025556465610861778,100.0,8800,0.0,2000,-24.87805426120758,0.0003,-24.492636680603027,0.10823833057656884,2.134092442691326
92,127,211.88226,71,0.025560252368450165,100.0,9200,0.0,2096,-25.84368407726288,0.0003,-25.414148330688477,0.1052210028283298,2.4147869870066643
96,127,213.38281,75,0.025561587885022163,100.0,9600,0.0,2192,-26.895966291427612,0.0003,-24.920822978019714,0.10224925633519888,2.5975532457232475
100,127,215.81653,78,0.02556498721241951,100.0,10000,0.0,2304,-28.192559957504272,0.0003,-25.175419330596924,0.0989859327673912,2.6885793954133987
104,127,213.72528,81,0.025568373501300812,100.0,10400,0.0,2400,-29.171040534973145,0.0003,-24.79775905609131,0.09625390451401472,2.4230839237570763
108,127,211.95201,84,0.025571024045348167,100.0,10800,0.0,2496,-30.38503074645996,0.0003,-23.84136199951172,0.09362204931676388,2.3130233734846115
112,127,213.42465,88,0.025573961436748505,100.0,11200,0.0,2592,-31.636918663978577,0.0003,-23.11759865283966,0.09116117982193828,2.548720456659794
116,126,214.93146,91,0.025577427819371223,100.0,11600,0.0,2704,-32.876707553863525,0.0003,-25.040467023849487,0.08833862794563174,2.9019953683018684
120,126,217.31075,94,0.025581365451216698,100.0,12000,0.0,2800,-33.95922875404358,0.0003,-25.853812336921692,0.08597332518547773,4.367469325661659
124,126,217.72426,97,0.02558315359055996,100.0,12400,0.0,2896,-34.63270139694214,0.0003,-26.14450192451477,0.0836308840662241,4.115869730710983
128,126,218.73024,101,0.025585835799574852,100.0,12800,0.0,2992,-35.46898555755615,0.0003,-25.9240300655365,0.08141288626939058,3.5746492445468903
132,126,221.4967,104,0.02558976598083973,100.0,13200,0.0,3104,-36.63200616836548,0.0003,-25.929166078567505,0.07882271287962794,3.604889541864395
136,126,224.7407,107,0.02559153363108635,100.0,13600,0.0,3200,-37.63058018684387,0.0003,-27.57131338119507,0.07666620891541243,3.692078560590744
140,126,227.05077,110,0.02559291571378708,100.0,14000,0.0,3296,-38.72035312652588,0.0003,-27.354564428329468,0.07459233980625868,4.2157542780041695
144,126,226.80031,114,0.025595907121896744,100.0,14400,0.0,3392,-39.79321813583374,0.0003,-25.880345702171326,0.07255968125537038,4.022935658693314
148,125,228.9869,117,0.02559618093073368,100.0,14800,0.0,3504,-40.42677283287048,0.0003,-26.805850982666016,0.07028612028807402,4.0858139321208
152,125,231.50636,120,0.02559679187834263,100.0,15200,0.0,3600,-41.70650267601013,0.0003,-24.019753336906433,0.06848260527476668,3.7169786617159843
156,125,234.06645,123,0.025601692497730255,100.0,15600,0.0,3696,-42.546523571014404,0.0003,-24.57874882221222,0.06674958625808358,4.004765696823597
160,125,236.20424,127,0.025601224973797798,100.0,16000,0.0,3792,-43.49676585197449,0.0003,-25.441181898117065,0.06498958729207516,3.6984608620405197
164,125,236.71027,130,0.02560274861752987,100.0,16400,0.0,3904,-44.405842781066895,0.0003,-25.21412491798401,0.06305099558085203,4.637053184211254
168,125,240.79971,133,0.025603849440813065,100.0,16800,0.0,4000,-45.33276987075806,0.0003,-25.59957981109619,0.06142855202779174,4.013199761509895
172,125,242.84377,136,0.025604423135519028,100.0,17200,0.0,4096,-46.269715309143066,0.0003,-25.02895760536194,0.059847465716302395,4.325347438454628
176,126,243.53311,139,0.025608425959944725,100.0,17600,0.0,4192,-47.42803120613098,0.0003,-23.27726948261261,0.058342307806015015,4.09596087038517
180,125,245.85458,142,0.025610392913222313,100.0,18000,0.0,4304,-48.5580837726593,0.0003,-25.27358829975128,0.05663805361837149,4.500847145915031
184,126,248.99625,145,0.025609901174902916,100.0,18400,0.0,4400,-49.298842668533325,0.0003,-26.755408883094788,0.055187699384987354,3.8705423325300217
188,125,251.32533,149,0.02561272121965885,100.0,18800,0.0,4496,-50.42451071739197,0.0003,-24.804861068725586,0.05378055106848478,3.998283937573433
192,125,254.41093,152,0.025616148486733437,100.0,19200,0.0,4592,-51.534040689468384,0.0003,-25.252296686172485,0.052431762451305985,3.8536078482866287
196,125,255.32133,156,0.025618361309170723,100.0,19600,0.0,4704,-51.946045875549316,0.0003,-24.217604994773865,0.05087843141518533,5.154756784439087
200,125,254.87738,159,0.025622641667723656,100.0,20000,0.0,4800,-53.16598343849182,0.0003,-22.255450427532196,0.04965019365772605,4.9105947613716125
204,125,256.70084,162,0.025625724345445633,100.0,20400,0.0,4896,-53.55683255195618,0.0003,-23.691142916679382,0.04843095317482948,4.645410895347595
208,125,259.5634,165,0.02562650479376316,100.0,20800,0.0,4992,-54.477712631225586,0.0003,-26.152674078941345,0.047250792384147644,4.457662358880043
212,125,259.5754,169,0.025630123913288116,100.0,21200,0.0,5104,-55.742085218429565,0.0003,-23.98281478881836,0.04586586123332381,3.587690517306328
216,125,260.94717,172,0.0256329532712698,100.0,21600,0.0,5200,-56.60490083694458,0.0003,-24.824276089668274,0.04468029900453985,4.631231725215912
220,125,262.33328,175,0.025635432451963425,100.0,22000,0.0,5296,-57.656582832336426,0.0003,-22.70173716545105,0.043607484782114625,3.9390442073345184
224,125,265.04056,178,0.02563922479748726,100.0,22400,0.0,5392,-58.5549054145813,0.0003,-26.138391137123108,0.042498972499743104,4.214206248521805
228,125,266.38013,181,0.02564052864909172,100.0,22800,0.0,5504,-59.25389575958252,0.0003,-24.38232147693634,0.041264822939410806,3.7968135476112366
232,125,266.31268,185,0.02564004249870777,100.0,23200,0.0,5600,-60.157575607299805,0.0003,-23.32890260219574,0.040207274025306106,4.296807497739792
236,125,267.3758,188,0.02564048022031784,100.0,23600,0.0,5696,-61.20851182937622,0.0003,-25.6950466632843,0.03920587501488626,3.80039618909359
240,125,267.5584,191,0.025647643953561783,100.0,24000,0.0,5792,-61.36673283576965,0.0003,-24.74424982070923,0.038245687959715724,4.3552307933568954
244,125,268.40436,194,0.025652717798948288,100.0,24400,0.0,5904,-62.6666362285614,0.0003,-24.317538022994995,0.03710544318892062,4.20045081526041
248,125,269.8064,198,0.025655819103121758,100.0,24800,0.0,6000,-63.45742464065552,0.0003,-23.4636652469635,0.03617248823866248,3.6731277257204056
252,125,270.7531,201,0.02565820887684822,100.0,25200,0.0,6096,-64.41521167755127,0.0003,-20.472517609596252,0.035288076382130384,4.554263353347778
256,125,270.5596,204,0.025658156722784042,100.0,25600,0.0,6192,-64.74969816207886,0.0003,-18.19343000650406,0.034474911633878946,4.8511050045490265
260,125,270.75986,207,0.025661446154117584,100.0,26000,0.0,6304,-65.64134788513184,0.0003,-24.702893018722534,0.033537906827405095,4.645525202155113
264,125,272.96484,211,0.025665754452347755,100.0,26400,0.0,6400,-66.50097799301147,0.0003,-22.227289617061615,0.03274125186726451,4.688994571566582
268,125,273.94348,214,0.025666620582342148,100.0,26800,0.0,6496,-67.18878841400146,0.0003,-21.600616335868835,0.03195394412614405,4.1380476504564285
272,125,274.00925,217,0.025667695328593254,100.0,27200,0.0,6592,-67.60374116897583,0.0003,-24.626750588417053,0.031181870843283832,4.17597134411335
276,124,274.1092,220,0.025666119530797005,100.0,27600,0.0,6704,-68.04126024246216,0.0003,-22.648744344711304,0.03026530344504863,5.336108669638634
280,124,275.13516,224,0.025668898597359657,100.0,28000,0.0,6800,-69.06395816802979,0.0003,-23.52669060230255,0.029497313778847456,4.686086639761925
284,124,275.19693,227,0.025674644857645035,100.0,28400,0.0,6896,-70.13605785369873,0.0003,-19.20191103219986,0.02882350014988333,4.513883724808693
288,124,276.03177,230,0.025678051635622978,100.0,28800,0.0,6992,-70.52139616012573,0.0003,-23.34040117263794,0.028158319066278636,4.622408181428909
292,124,274.40353,233,0.025681443512439728,100.0,29200,0.0,7104,-71.09842109680176,0.0003,-20.184700071811676,0.027418870478868484,4.339686036109924
296,124,275.2932,237,0.02568422071635723,100.0,29600,0.0,7200,-71.56207799911499,0.0003,-19.77426940202713,0.02678294782526791,4.838945493102074
300,124,276.26587,240,0.025688301771879196,100.0,30000,0.0,7296,-72.53407382965088,0.0003,-23.015159845352173,0.02614854380954057,4.775232255458832
304,124,277.47922,243,0.025694461539387703,100.0,30400,0.0,7392,-72.80043935775757,0.0003,-20.495129823684692,0.025527033722028136,5.996196210384369
308,124,277.48648,247,0.025696896016597748,100.0,30800,0.0,7504,-73.63121223449707,0.0003,-21.860011518001556,0.024848746601492167,5.2029920518398285
312,124,277.5756,250,0.02569565363228321,100.0,31200,0.0,7600,-74.295175075531,0.0003,-19.66375195980072,0.02424605714622885,5.1436033099889755
316,124,277.96204,253,0.025694960728287697,100.0,31600,0.0,7696,-74.67421436309814,0.0003,-19.85373818874359,0.023766992148011923,4.945663601160049
320,124,278.47528,256,0.025701293721795082,100.0,32000,0.0,7792,-75.10287094116211,0.0003,-22.203068375587463,0.02315264567732811,4.372667565941811
324,124,278.11356,260,0.025700146332383156,100.0,32400,0.0,7904,-76.05755043029785,0.0003,-19.598859190940857,0.02250994765199721,4.4198541939258575
328,124,279.04306,263,0.02570248208940029,100.0,32800,0.0,8000,-76.80438566207886,0.0003,-17.400858610868454,0.0220188352977857,4.3694197833538055
332,124,279.3783,266,0.025701381266117096,100.0,33200,0.0,8096,-77.58818435668945,0.0003,-17.897298872470856,0.021549921832047403,4.116945266723633
336,124,279.76505,269,0.025702107697725296,100.0,33600,0.0,8192,-77.98444271087646,0.0003,-16.888678669929504,0.021110161091201007,3.6749323308467865
