#{"t_start": 1787295062.814969, "env_id": null}
r,l,t
238.47838,100,3.831963
269.4016,100,3.83205
243.06146,100,3.832072
302.52283,100,3.832089
270.41772,100,3.832105
292.97925,100,3.83212
258.03592,100,3.832135
246.62828,100,3.83215
292.95178,100,26.215411
265.54022,100,26.215482
252.2925,100,26.215493
258.14236,100,26.215501
239.0584,100,26.215516
254.9309,100,26.215527
220.81715,100,26.215535
264.34546,100,26.215542
185.4534,100,39.131049
254.94398,100,39.13113
284.0892,100,39.131142
254.76183,100,39.131151
194.37003,100,39.131159
275.82855,100,39.131166
285.51053,100,39.131192
216.19112,100,39.1312
251.01405,100,61.143044
263.7552,100,61.143112
289.62878,100,61.143123
293.51514,100,61.143131
192.18764,100,61.143139
291.1126,100,61.143147
247.93414,100,61.143155
225.03294,100,61.143163
185.54926,100,73.744663
163.59653,100,73.744732
258.5551,100,73.744744
195.39352,100,73.744752
156.76688,100,73.74476
222.2708,100,73.744768
286.0658,100,73.744776
208.71107,100,73.744783
221.61574,100,95.546026
267.55637,100,95.546107
145.05879,100,95.546129
292.1144,100,95.546145
222.77461,100,95.54616
289.67514,100,95.546175
204.20746,100,95.546191
202.47884,100,95.546206
190.04242,100,108.091889
211.4855,100,108.091978
200.89894,100,108.091999
225.89503,100,108.092015
175.73521,100,108.092031
181.17534,100,108.092046
265.59348,100,108.09206
250.5145,100,108.092076
187.50119,100,130.072902
278.38202,100,130.072968
245.61626,100,130.07298
170.0504,100,130.072989
171.14824,100,130.072999
200.04932,100,130.073007
189.13406,100,130.073016
163.41985,100,130.073025
175.33206,100,151.963763
234.65805,100,151.963833
112.53879,100,151.963845
164.15634,100,151.963854
196.50049,100,151.963861
171.38626,100,151.96387
165.62654,100,151.963877
225.04776,100,151.963886
211.82616,100,164.57821
156.58028,100,164.5783
267.59985,100,164.578321
239.85718,100,164.578338
295.30972,100,164.578353
157.69698,100,164.578368
294.93024,100,164.578384
294.28735,100,164.578399
192.77856,100,186.79041
266.08215,100,186.790482
264.46802,100,186.790493
204.24384,100,186.790501
183.83562,100,186.790516
226.51141,100,186.790526
163.39336,100,186.790534
190.38512,100,186.790542
259.86777,100,199.379134
190.80083,100,199.379207
273.16797,100,199.37922
265.18317,100,199.37923
173.08684,100,199.37924
281.73227,100,199.379248
195.01814,100,199.379258
187.17737,100,199.379267
290.82043,100,221.408018
280.72073,100,221.408101
211.24918,100,221.40812
259.51337,100,221.408135
249.87843,100,221.408149
233.10295,100,221.408163
225.32845,100,221.408177
191.59502,100,221.40819
197.0881,100,234.001118
192.21295,100,234.001189
306.56058,100,234.001202
214.87032,100,234.001211
254.98221,100,234.00122
184.28078,100,234.001229
205.76834,100,234.001237
126.641304,100,234.001252
253.46286,100,255.342409
225.06555,100,255.342477
157.24167,100,255.342488
179.44588,100,255.342497
249.91335,100,255.342505
186.3679,100,255.342525
176.77441,100,255.342533
186.18144,100,255.342541
315.5565,100,267.744018
151.85756,100,267.744087
152.22897,100,267.744099
121.64405,100,267.744107
253.65793,100,267.744116
295.533,100,267.744123
181.27783,100,267.744131
206.30653,100,267.744139
230.55565,100,289.960556
184.58154,100,289.960619
227.13152,100,289.960631
192.69397,100,289.96064
290.16815,100,289.960648
