time/fps,train/std,time/time_elapsed,rollout/success_rate,time/total_timesteps,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,train/target_weight,train/critic_aux_loss,train/n_updates,train/actor_loss,train/actor_aux_loss,train/aux_weight,train/ent_coef_loss,train/learning_rate,train/critic_target_loss,train/actor_target_loss,train/ent_coef,train/critic_loss
437,0.025476466864347458,1,0.0,800,4,265.19067,100.0,,,,,,,,,,,,
437,0.025476466864347458,1,0.0,800,8,265.19067,100.0,,,,,,,,,,,,
66,0.025522131472826004,24,0.0,1600,12,260.60028,100.0,100.0,0.32931229658424854,128,60.59385073184967,0.41788189858198166,100.0,-5.565483023412526,0.0003,0.1618403906468302,0.1981797651387751,0.20278417970985174,49.711688578128815
66,0.025522131472826004,24,0.0,1600,16,260.60028,100.0,,,,,,,,,,,,
64,0.025540240108966827,37,0.0,2400,20,255.03137,100.0,100.0,0.3412186950445175,192,48.88979935646057,0.36244868393987417,100.0,-9.480411395430565,0.0003,0.14915232569910586,0.14998182468116283,0.1998754378873855,49.48304998874664
64,0.025540240108966827,37,0.0,2400,24,255.03137,100.0,,,,,,,,,,,,
54,0.025574008002877235,59,0.0,3200,28,255.46667,100.0,100.0,0.3680113828741014,320,45.08571392297745,0.3597939074970782,100.0,-10.785005532205105,0.0003,0.12561251199804246,0.12526085891295224,0.19207662157714367,49.62280970811844
54,0.025574008002877235,59,0.0,3200,32,255.46667,100.0,,,,,,,,,,,,
55,0.02559066377580166,71,0.0,4000,36,246.29605,100.0,100.0,0.38425472006201744,384,45.083615720272064,0.378146895673126,100.0,-11.552216336131096,0.0003,0.11295529280323535,0.11261178366839886,0.1881417108234018,49.95930027961731
55,0.02559066377580166,71,0.0,4000,40,246.29605,100.0,,,,,,,,,,,,
51,0.02562764659523964,93,0.0,4800,44,243.69426,100.0,100.0,0.3974793730303645,512,44.6157443523407,0.38695733807981014,100.0,-11.863746955990791,0.0003,0.10778861970175058,0.10993559996131808,0.18058638740330935,50.821635603904724
51,0.02562764659523964,93,0.0,4800,48,243.69426,100.0,,,,,,,,,,,,
52,0.0256454236805439,106,0.0,5600,52,239.26186,100.0,100.0,0.3959701219573617,576,41.57370972633362,0.3608757834881544,100.0,-11.868017464876175,0.0003,0.10982749797403812,0.11125341698061675,0.17707089008763433,50.80847281217575
52,0.0256454236805439,106,0.0,5600,56,239.26186,100.0,,,,,,,,,,,,
49,0.025679301470518112,128,0.0,6400,60,234.43695,100.0,100.0,0.3765777121298015,704,35.09195598959923,0.31533670146018267,100.0,-12.599350184202194,0.0003,0.1010945241432637,0.10421209747437388,0.17009623907506466,48.04277700185776
49,0.025679301470518112,128,0.0,6400,64,234.43695,100.0,,,,,,,,,,,,
48,0.025712307542562485,149,0.0,7200,68,228.46126,100.0,100.0,0.38952898932620883,832,35.569498628377914,0.33550650579854846,100.0,-12.691678568720818,0.0003,0.09303973347414285,0.09844889433588833,0.1635387020651251,48.55130761861801
48,0.025712307542562485,149,0.0,7200,72,228.46126,100.0,,,,,,,,,,,,
49,0.02572898007929325,162,0.0,8000,76,229.59123,100.0,100.0,0.3801637189462781,896,31.7347911298275,0.3067272282205522,100.0,-12.583050280809402,0.0003,0.09116062172688544,0.09566963068209589,0.16033871262334287,47.42796343564987
49,0.02572898007929325,162,0.0,8000,80,229.59123,100.0,,,,,,,,,,,,
47,0.025763627141714096,184,0.0,8800,84,227.94316,100.0,100.0,0.3600248130969703,1024,29.90729448199272,0.2922074287198484,100.0,-13.20743802189827,0.0003,0.10036173043772578,0.1040296966675669,0.1542830087710172,46.37797313928604
47,0.025763627141714096,184,0.0,8800,88,227.94316,100.0,,,,,,,,,,,,
48,0.025779925286769867,197,0.0,9600,92,227.96907,100.0,100.0,0.3434022287838161,1088,27.017631322145462,0.27410905063152313,100.0,-13.696194902062416,0.0003,0.09621692996006459,0.09994946222286671,0.1512498336378485,44.29454481601715
48,0.025779925286769867,197,0.0,9600,96,227.96907,100.0,,,,,,,,,,,,
47,0.025812093168497086,219,0.0,10400,100,227.73778,100.0,100.0,0.3384341709315777,1216,24.565874725580215,0.26337333396077156,100.0,-14.245313942432404,0.0003,0.09575866034720093,0.09958972758613527,0.14535701018758118,43.74600446224213
47,0.025812093168497086,219,0.0,10400,104,227.73778,100.0,,,,,,,,,,,,
48,0.025827579200267792,231,0.0,11200,108,223.19191,100.0,100.0,0.333946093916893,1280,23.696654319763184,0.26317233336158097,100.0,-13.921491116285324,0.0003,0.09337840334046632,0.09681150794494897,0.14249200047925115,43.10817635059357
48,0.025827579200267792,231,0.0,11200,112,223.19191,100.0,,,,,,,,,,,,
