success_terminal,grasp_without_lift,slipped_after_lift,grasp_loss,late_success_timing,stable_then_dropped,peak_height
False,False,False,False,-1,False,0.20500579476356506
False,False,False,False,-1,False,0.20500566065311432
False,False,False,False,-1,False,0.2050057053565979
False,False,False,False,-1,False,0.2050056755542755
False,False,False,False,-1,False,0.2050057053565979
False,False,False,False,-1,False,0.2050057202577591
False,False,False,False,-1,False,0.20500575006008148
False,False,False,False,-1,False,0.20500576496124268
False,False,False,False,-1,False,0.2050057202577591
False,False,False,False,-1,False,0.20500577986240387
False,False,False,False,-1,False,0.20500575006008148
False,False,False,False,-1,False,0.2129095196723938
False,False,False,False,-1,False,0.20500577986240387
False,False,False,False,-1,False,0.20500577986240387
False,False,False,False,-1,False,0.2050057053565979
False,False,False,False,-1,False,0.2056645005941391
False,False,False,False,-1,False,0.2055293172597885
False,False,False,False,-1,False,0.20500577986240387
False,False,False,False,-1,False,0.20500577986240387
False,False,False,False,-1,False,0.20500566065311432
False,True,False,True,-1,True,0.15997260808944702
True,False,False,False,44,False,0.3581791818141937
False,True,False,True,-1,True,0.12101120501756668
False,False,True,False,-1,False,0.36608394980430603
False,False,True,False,-1,False,0.3045414090156555
False,False,False,False,-1,False,0.12101110816001892
False,False,False,False,-1,False,0.1210111752152443
False,False,False,False,-1,False,0.12101119011640549
False,False,False,False,-1,False,0.12101120501756668
False,False,True,True,-1,True,0.36136171221733093
False,True,False,True,-1,True,0.12101112306118011
False,True,False,True,-1,True,0.12101119011640549
False,False,False,False,-1,False,0.12101119756698608
False,True,False,True,-1,True,0.16985249519348145
True,False,False,False,41,False,0.42727750539779663
False,False,False,False,-1,False,0.1210111677646637
False,False,True,True,-1,True,0.33891335129737854
True,False,False,False,80,False,0.432254821062088
False,True,False,True,-1,True,0.20271721482276917
False,False,False,False,-1,False,0.1210111677646637
False,True,False,True,-1,True,0.09569146484136581
False,False,False,False,-1,False,0.0956914946436882
False,False,True,False,-1,False,0.30086156725883484
False,False,False,False,-1,False,0.09569155424833298
False,False,False,False,-1,False,0.0956914871931076
