success_terminal,grasp_without_lift,slipped_after_lift,grasp_loss,late_success_timing,stable_then_dropped,peak_height
False,False,False,False,-1,False,0.2050057202577591
False,False,False,False,-1,False,0.20500802993774414
False,False,False,False,-1,False,0.2050057053565979
False,False,False,False,-1,False,0.20500576496124268
False,False,False,False,-1,False,0.2087956815958023
False,False,False,False,-1,False,0.20500575006008148
False,False,False,False,-1,False,0.2050056904554367
False,False,False,False,-1,False,0.2050056904554367
False,False,False,False,-1,False,0.20500577986240387
False,False,False,False,-1,False,0.20500576496124268
False,False,False,False,-1,False,0.2050056904554367
False,False,False,False,-1,False,0.2050056755542755
False,False,False,False,-1,False,0.20500577986240387
False,False,False,False,-1,False,0.2080366611480713
False,False,False,False,-1,False,0.20882798731327057
False,False,False,False,-1,False,0.20727790892124176
False,False,False,False,-1,False,0.2120599001646042
False,False,False,False,-1,False,0.21204061806201935
False,False,False,False,-1,False,0.2050057351589203
False,False,False,False,-1,False,0.21197660267353058
False,True,False,False,-1,False,0.16185574233531952
False,False,False,False,-1,False,0.12101118266582489
False,False,False,False,-1,False,0.12101110816001892
False,False,False,False,-1,False,0.12101120501756668
False,False,True,False,-1,False,0.33949583768844604
True,False,False,False,49,False,0.3950134515762329
False,False,True,True,-1,True,0.386599063873291
True,False,False,True,81,True,0.3583722412586212
False,False,False,False,-1,False,0.12101120501756668
False,False,False,False,-1,False,0.1210111677646637
True,False,False,True,82,True,0.3502846658229828
False,False,False,False,-1,False,0.1210111528635025
False,False,False,False,-1,False,0.12101118266582489
False,False,False,False,-1,False,0.1210111603140831
True,False,False,False,45,False,0.38859835267066956
True,False,False,False,82,False,0.30498620867729187
False,True,False,True,-1,True,0.1210111677646637
False,False,False,False,-1,False,0.12101118266582489
False,False,False,False,-1,False,0.1210111528635025
False,False,False,False,-1,False,0.12101119011640549
False,False,False,False,-1,False,0.09569155424833298
False,False,False,False,-1,False,0.0956914871931076
False,False,False,False,-1,False,0.09569145739078522
False,False,False,False,-1,False,0.0956915095448494
False,False,False,False,-1,False,0.09569155424833298
True,False,False,False,99,False,0.31524062156677246
False,False,False,False,-1,False,0.09769285470247269
False,False,False,False,-1,False,0.09572122246026993
True,False,False,False,98,False,0.28219547867774963
False,False,False,False,-1,False,0.09569154679775238
False,False,False,False,-1,False,0.09569155424833298
False,False,False,False,-1,False,0.09779844433069229
False,True,False,True,-1,True,0.12350241094827652
False,False,False,False,-1,False,0.10616279393434525
False,False,False,False,-1,False,0.096524678170681
False,True,False,False,-1,False,0.24381673336029053
False,False,False,False,-1,False,0.09870895743370056
False,False,False,False,-1,False,0.09569152444601059
False,False,False,False,-1,False,0.09748008102178574
False,False,False,False,-1,False,0.09569152444601059
False,False,False,False,-1,False,0.13121218979358673
False,False,False,False,-1,False,0.13121221959590912
False,True,False,True,-1,True,0.1312122493982315
False,True,False,True,-1,True,0.205121248960495
False,False,True,True,-1,True,0.43793460726737976
False,True,False,True,-1,True,0.2478807121515274
False,True,False,True,-1,True,0.1539725959300995
False,False,True,True,-1,True,0.298902302980423
True,False,False,False,91,False,0.36060744524002075
True,False,False,True,67,True,0.4283458888530731
True,False,False,False,43,False,0.376146137714386
False,False,False,False,-1,False,0.1312122344970703
False,False,False,False,-1,False,0.13121218979358673
False,False,False,False,-1,False,0.1312122344970703
False,False,False,False,-1,False,0.13121218979358673
False,True,False,True,-1,True,0.18190975487232208
False,False,False,False,-1,False,0.14722612500190735
False,False,False,False,-1,False,0.1312122344970703
False,True,False,True,-1,True,0.13121221959590912
False,True,False,True,-1,True,0.2452130913734436
False,False,False,False,-1,False,0.1867801696062088
False,False,False,False,-1,False,0.18678018450737
False,False,False,False,-1,False,0.1867801547050476
False,False,False,False,-1,False,0.18678011000156403
False,False,False,False,-1,False,0.18678012490272522
False,False,False,False,-1,False,0.18678012490272522
False,True,False,True,-1,True,0.18769671022891998
False,False,True,True,-1,True,0.3420674204826355
False,False,True,False,-1,False,0.3091447949409485
False,False,False,False,-1,False,0.1867801696062088
False,False,False,False,-1,False,0.18678009510040283
False,False,False,False,-1,False,0.18678009510040283
False,False,False,False,-1,False,0.18678012490272522
False,False,True,False,-1,False,0.3209686577320099
False,False,False,False,-1,False,0.18678012490272522
False,True,False,True,-1,True,0.19320718944072723
False,False,False,False,-1,False,0.18678006529808044
False,False,False,False,-1,False,0.18678011000156403
False,False,False,False,-1,False,0.1867801547050476
False,True,False,True,-1,True,0.18678009510040283
False,False,False,False,-1,False,0.09926486015319824
False,False,False,False,-1,False,0.08417615294456482
False,False,False,False,-1,False,0.084176205098629
False,True,False,True,-1,True,0.19999109208583832
False,False,False,False,-1,False,0.09916146099567413
False,False,False,False,-1,False,0.0924287661910057
True,False,False,True,82,True,0.5461779832839966
False,False,False,False,-1,False,0.09745147079229355
True,False,False,False,92,False,0.36845776438713074
False,False,False,False,-1,False,0.08660143613815308
False,False,False,False,-1,False,0.10934065282344818
False,False,False,False,-1,False,0.08417614549398422
False,False,False,False,-1,False,0.10013104975223541
False,False,False,False,-1,False,0.0841762125492096
False,False,False,False,-1,False,0.09428878873586655
False,False,False,False,-1,False,0.09943325817584991
False,False,False,False,-1,False,0.10115402191877365
False,True,False,True,-1,True,0.1426578164100647
False,False,False,False,-1,False,0.10156689584255219
False,False,False,False,-1,False,0.0998128205537796
True,False,False,True,68,True,0.48944175243377686
