time/episodes,reward/goal_reward,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,reward/info_exist_reward,time/fps,reward/grasp_reward,reward/static_reward,train/std,time/total_timesteps,rollout/success_rate,reward/approach_reward,train/aux_weight,train/actor_aux_loss,train/target_weight,train/n_updates,train/critic_aux_loss,train/critic_loss,train/learning_rate,train/ent_coef,train/actor_target_loss,train/ent_coef_loss,train/critic_target_loss,train/actor_loss
4,0.0,137.7912,100.0,1,0.2909999999999999,415,0.0,0.0,0.025476466864347458,800,0.0,2.4975722345635676,,,,,,,,,,,,
8,,137.7912,100.0,1,,414,,,0.025476466864347458,800,0.0,,,,,,,,,,,,,
12,0.0,138.99693,100.0,24,0.07499999999999998,65,0.0,0.0,0.02551875077188015,1600,0.0,2.7084840732603626,100.0,0.4318962902761996,100.0,128,0.39308080542832613,50.60286241769791,0.0003,0.1994574721902609,0.10602658800780773,-10.88496108353138,0.10956154915038496,52.85884040594101
16,,138.99693,100.0,24,,65,,,0.02551875077188015,1600,0.0,,,,,,,,,,,,,
20,0.0,139.52498,100.0,37,0.03899999999999999,64,0.0,0.0,0.025535140186548233,2400,0.0,2.679514065926449,100.0,0.41017306642606854,100.0,192,0.38627286860719323,47.495531022548676,0.0003,0.19539451063610613,0.08570589229930192,-11.556050255894661,0.0870997195597738,48.16506499052048
24,,139.52498,100.0,37,,64,,,0.025535140186548233,2400,0.0,,,,,,,,,,,,,
28,0.0,138.906,100.0,59,0.05999999999999999,53,0.0,0.0,0.025565840303897858,3200,0.0,2.6794245351129975,100.0,0.4099372485652566,100.0,320,0.41606738371774554,49.00898778438568,0.0003,0.18744138022884727,0.07189229526557028,-13.638212621212006,0.07240780483698472,45.86428588628769
32,,138.906,100.0,59,,53,,,0.025565840303897858,3200,0.0,,,,,,,,,,,,,
36,0.0,138.71231,100.0,72,0.147,55,0.0,0.0,0.025582386180758476,4000,0.0,2.4285642334056736,100.0,0.37432842841371894,100.0,384,0.40422002831473947,46.96035820245743,0.0003,0.1835182684008032,0.0643664593808353,-13.450445115566254,0.06409587897360325,41.28564810752869
40,,138.71231,100.0,72,,55,,,0.025582386180758476,4000,0.0,,,,,,,,,,,,,
44,0.0,140.83159,100.0,94,0.07499999999999998,50,0.0,0.0,0.02561398595571518,4800,0.0,2.8646655570801864,100.0,0.33475179225206375,100.0,512,0.3950519668869674,46.18710958957672,0.0003,0.17636121390387416,0.0672865851665847,-13.175816997885704,0.06537411786848679,37.007636308670044
48,,140.83159,100.0,94,,50,,,0.02561398595571518,4800,0.0,,,,,,,,,,,,,
52,0.0,141.48083,100.0,107,0.07199999999999998,52,0.0,0.0,0.025630949065089226,5600,0.0,2.9191693710794016,100.0,0.30731775192543864,100.0,576,0.38383400440216064,45.32385754585266,0.0003,0.17307668854482472,0.07047136855544522,-12.479158982634544,0.06799147377023473,34.386415272951126
56,,141.48083,100.0,107,,52,,,0.025630949065089226,5600,0.0,,,,,,,,,,,,,
60,0.0,142.83057,100.0,129,0.07499999999999998,49,0.0,0.0,0.02566412277519703,6400,0.0,3.0933587687521453,100.0,0.27807955630123615,100.0,704,0.36964050494134426,43.299924194812775,0.0003,0.1667571000289172,0.06413327832706273,-13.213742733001709,0.061743912228848785,29.9122397005558
64,,142.83057,100.0,129,,49,,,0.02566412277519703,6400,0.0,,,,,,,,,,,,,
68,0.0,143.09048,100.0,152,0.10799999999999997,47,0.0,0.0,0.025696976110339165,7200,0.0,2.56014327457586,100.0,0.26589822163805366,100.0,832,0.3564890567213297,44.725013732910156,0.0003,0.16065596393309534,0.09018442512024194,-13.292938902974129,0.08909525105264038,30.511190325021744
72,,143.09048,100.0,152,,47,,,0.025696976110339165,7200,0.0,,,,,,,,,,,,,
76,0.0,142.85707,100.0,165,0.09299999999999999,48,0.0,0.0,0.025713546201586723,8000,0.0,2.424917249110321,100.0,0.25700485869310796,100.0,896,0.34682863065972924,44.30619865655899,0.0003,0.15765135176479816,0.09473934979178011,-13.350412636995316,0.09439344040583819,29.65886551141739
80,,142.85707,100.0,165,,48,,,0.025713546201586723,8000,0.0,,,,,,,,,,,,,
84,0.0,144.18408,100.0,187,0.03599999999999999,46,0.0,0.0,0.025748347863554955,8800,0.0,2.852310206407724,100.0,0.2487739408388734,100.0,1024,0.34114267444238067,44.07756549119949,0.0003,0.15213187620975077,0.0963835755828768,-12.835747316479683,0.0977467306656763,28.339587092399597
88,,144.18408,100.0,187,,46,,,0.025748347863554955,8800,0.0,,,,,,,,,,,,,
92,0.0,144.8033,100.0,200,0.10799999999999998,47,0.0,0.0,0.025765426456928253,9600,0.0,2.928695027601938,100.0,0.241588965523988,100.0,1088,0.3345413263887167,44.0795533657074,0.0003,0.14939505350776017,0.10314490448217839,-13.13551239669323,0.10443671303801239,27.878664284944534
96,,144.8033,100.0,200,,47,,,0.025765426456928253,9600,0.0,,,,,,,,,,,,,
100,0.0,144.84024,100.0,223,0.147,46,0.0,0.0,0.025796838104724884,10400,0.0,2.69773279405028,100.0,0.23488983744755387,100.0,1216,0.3223681403324008,42.98965960741043,0.0003,0.14412582060322165,0.10481968126259744,-13.336010918021202,0.10597387293819338,26.539680302143097
104,,144.84024,100.0,223,,46,,,0.025796838104724884,10400,0.0,,,,,,,,,,,,,
108,0.0,144.6356,100.0,236,0.07499999999999998,47,0.0,0.0,0.02581409178674221,11200,0.0,2.3764189809827116,100.0,0.22451068996451795,100.0,1280,0.31551610212773085,42.34196615219116,0.0003,0.14159684674814343,0.1051397625124082,-13.203389033675194,0.10647310188505799,25.168877840042114
112,,144.6356,100.0,236,,47,,,0.02581409178674221,11200,0.0,,,,,,,,,,,,,
116,0.0,144.1492,100.0,258,0.07499999999999998,46,0.0,0.0,0.025847243145108223,12000,0.0,2.3636113205488187,100.0,0.22250045905821025,100.0,1408,0.3098815348930657,41.34005403518677,0.0003,0.13654308230616152,0.0993506342638284,-13.43591845035553,0.10188649827614427,23.613684058189392
120,,144.1492,100.0,258,,46,,,0.025847243145108223,12000,0.0,,,,,,,,,,,,,
124,0.0,144.53343,100.0,271,0.11699999999999999,47,0.0,0.0,0.025863535702228546,12800,0.0,2.8135834391363255,100.0,0.22456423775292933,100.0,1472,0.3122058701701462,41.36425918340683,0.0003,0.13415579847060144,0.09648331406060606,-13.932295992970467,0.09995956206694245,23.102575063705444
128,,144.53343,100.0,271,,47,,,0.025863535702228546,12800,0.0,,,,,,,,,,,,,
132,0.0,146.01987,100.0,293,0.03899999999999999,46,0.0,0.0,0.025897277519106865,13600,0.0,3.088603727689045,100.0,0.21713262028060853,100.0,1600,0.29936806857585907,39.735269248485565,0.0003,0.12934012315236032,0.0918664667988196,-13.31647439301014,0.09665731689892709,21.2614743411541
136,,146.01987,100.0,293,,46,,,0.025897277519106865,13600,0.0,,,,,,,,,,,,,
140,0.0,147.22348,100.0,315,0.04499999999999999,45,0.0,0.0,0.025930067524313927,14400,0.0,2.9798647306495063,100.0,0.2098370362073183,100.0,1728,0.2954859295859933,39.92442488670349,0.0003,0.12477847596164793,0.09569241327699274,-14.679779812693596,0.10223581281024963,20.01906991004944
144,,147.22348,100.0,315,,45,,,0.025930067524313927,14400,0.0,,,,,,,,,,,,,
148,0.0,146.56392,100.0,328,0.12899999999999998,46,0.0,0.0,0.025946367532014847,15200,0.0,2.998703804029205,100.0,0.20352196809835732,100.0,1792,0.2936036875471473,39.68945628404617,0.0003,0.12246751482598484,0.09471669385675341,-14.389838367700577,0.10160469496622682,18.92435348033905
152,,146.56392,100.0,328,,46,,,0.025946367532014847,15200,0.0,,,,,,,,,,,,,
156,0.0,146.5885,100.0,350,0.11999999999999998,45,0.0,0.0,0.02598029188811779,16000,0.0,2.9544596055278847,100.0,0.210816556122154,100.0,1920,0.2983383843675256,39.92104244232178,0.0003,0.11810828256420791,0.09108000935520977,-14.104708462953568,0.09936749178450555,18.5980986058712
160,,146.5885,100.0,350,,45,,,0.02598029188811779,16000,0.0,,,,,,,,,,,,,
164,0.0,146.16847,100.0,363,0.10799999999999998,46,0.0,0.0,0.025997020304203033,16800,0.0,2.874242300625767,100.0,0.20788907120004296,100.0,1984,0.2971326750703156,39.62416434288025,0.0003,0.11598194879479706,0.08854873361997306,-15.09737603366375,0.0974009947385639,17.620950892567635
168,,146.16847,100.0,363,,46,,,0.025997020304203033,16800,0.0,,,,,,,,,,,,,
172,0.0,146.81555,100.0,386,0.04499999999999999,45,0.0,0.0,0.026029391214251518,17600,0.0,2.6419916343892695,100.0,0.19113090075552464,100.0,2112,0.28970356937497854,38.8106124997139,0.0003,0.11183348891790956,0.08560572087299079,-14.69937290251255,0.09675988182425499,15.004304379224777
176,,146.81555,100.0,386,,45,,,0.026029391214251518,17600,0.0,,,,,,,,,,,,,
180,0.0,146.82703,100.0,398,0.09299999999999999,46,0.0,0.0,0.026045609265565872,18400,0.0,2.6174060758770317,100.0,0.18990456778556108,100.0,2176,0.2854088000021875,38.3111857175827,0.0003,0.10974362830165774,0.08449075743556023,-15.920900538563728,0.09623234649188817,14.297694116830826
184,,146.82703,100.0,398,,46,,,0.026045609265565872,18400,0.0,,,,,,,,,,,,,
188,0.0,146.06715,100.0,420,0.21299999999999997,45,0.0,0.0,0.026078812777996063,19200,0.0,2.482041857268761,100.0,0.185213707620278,100.0,2304,0.2784204129129648,37.31863421201706,0.0003,0.1056609203806147,0.07694359368178993,-15.293415203690529,0.09322505991440266,12.402138978242874
192,,146.06715,100.0,420,,45,,,0.026078812777996063,19200,0.0,,,,,,,,,,,,,
196,0.0,144.31863,100.0,442,0.03899999999999999,45,0.0,0.0,0.026112603023648262,20000,0.0,2.2385286387198526,100.0,0.19031104911118746,100.0,2432,0.28874574787914753,38.26461338996887,0.0003,0.10181762918364257,0.07362766447477043,-16.355219841003418,0.09236406069248915,11.766138434410095
200,,144.31863,100.0,442,,45,,,0.026112603023648262,20000,0.0,,,,,,,,,,,,,
204,0.0,144.7313,100.0,455,0.0,45,0.0,0.0,0.02612832747399807,20800,0.0,2.8189207551462543,98.0,0.1970477474387735,98.0,2496,0.28814623365178704,37.30044096708298,0.0003,0.0998552244855091,0.07045965705765411,-16.080039337277412,0.0906744651729241,11.255393609404564
208,,144.7313,100.0,455,,45,,,0.02612832747399807,20800,0.0,,,,,,,,,,,,,
212,0.0,145.72424,100.0,477,0.0,45,0.0,0.0,0.026159606873989105,21600,0.0,2.4791249825203723,98.0,0.185347595019266,98.0,2624,0.2776106777600944,35.78861975669861,0.0003,0.09619457391090691,0.0628477810532786,-16.17670053243637,0.0859719414729625,8.649503909051418
216,,145.72424,100.0,477,,45,,,0.026159606873989105,21600,0.0,,,,,,,,,,,,,
220,0.0,146.54451,100.0,490,0.07499999999999998,45,0.0,0.0,0.026176774874329567,22400,0.0,2.437641115060089,98.0,0.18582372879609466,98.0,2688,0.27699674805626273,36.079328536987305,0.0003,0.09443413570988923,0.06487324141198769,-15.953932747244835,0.08941626397427171,8.552479296922684
224,,146.54451,100.0,490,,45,,,0.026176774874329567,22400,0.0,,,,,,,,,,,,,
228,0.0,146.0562,100.0,513,0.03899999999999999,45,0.0,0.0,0.02620990015566349,23200,0.0,2.6359410482165755,98.0,0.1836793355178088,98.0,2816,0.27597738010808825,36.19641762971878,0.0003,0.09105284360703081,0.06495717167854309,-15.47773663699627,0.09176011581439525,7.692352816462517
232,,146.0562,100.0,513,,45,,,0.02620990015566349,23200,0.0,,,,,,,,,,,,,
236,0.0,144.30939,100.0,525,0.0,45,0.0,0.0,0.026226641610264778,24000,0.0,2.6389520787087717,98.0,0.1812801044434309,98.0,2880,0.2755537515040487,35.980473935604095,0.0003,0.08939519885461777,0.060898736759554595,-16.821567177772522,0.08976017846725881,6.634635090827942
240,,144.30939,100.0,525,,45,,,0.026226641610264778,24000,0.0,,,,,,,,,,,,,
244,0.0,144.12569,100.0,548,0.03899999999999999,45,0.0,0.0,0.026258571073412895,24800,0.0,2.6596105485460315,98.0,0.18649504985660315,98.0,3008,0.27613440807908773,35.8833332657814,0.0003,0.08621935918927193,0.05849833629326895,-16.1132645457983,0.08803082793019712,6.311313830316067
248,,144.12569,100.0,548,,45,,,0.026258571073412895,24800,0.0,,,,,,,,,,,,,
252,0.0,144.1298,100.0,560,0.087,45,0.0,0.0,0.026275627315044403,25600,0.0,2.7608303016572777,98.0,0.18132627033628523,98.0,3072,0.2732821158133447,35.63820376992226,0.0003,0.08465780830010772,0.058375969529151917,-17.01541957259178,0.0886034497525543,5.426918499171734
256,,144.1298,100.0,560,,45,,,0.026275627315044403,25600,0.0,,,,,,,,,,,,,
260,0.0,143.81764,100.0,582,0.18899999999999997,45,0.0,0.0,0.026308733969926834,26400,0.0,2.740728356713199,98.0,0.18198118056170642,98.0,3200,0.27340890909545124,35.48819386959076,0.0003,0.08150273154024035,0.054521293262951076,-17.732987970113754,0.08669199713040143,4.383236438035965
264,,143.81764,100.0,582,,45,,,0.026308733969926834,26400,0.0,,,,,,,,,,,,,
268,0.0,144.6184,100.0,605,0.12,44,0.0,0.0,0.026339801028370857,27200,0.0,2.8646934442349448,98.0,0.17442491045221686,98.0,3328,0.2638240563683212,34.39350765943527,0.0003,0.07844410731922835,0.05072851694421843,-17.30505372583866,0.08494959096424282,2.6251607537269592
272,,144.6184,100.0,605,,44,,,0.026339801028370857,27200,0.0,,,,,,,,,,,,,
276,0.0,143.72478,100.0,617,0.07199999999999998,45,0.0,0.0,0.026355555281043053,28000,0.0,2.399341838703359,98.0,0.17266650963574648,98.0,3392,0.2632017189171165,34.18187901377678,0.0003,0.07698953105136752,0.04955618438543752,-18.047188833355904,0.08369233726989478,2.005374524742365
280,,143.72478,100.0,617,,45,,,0.026355555281043053,28000,0.0,,,,,,,,,,,,,
284,0.0,143.01447,100.0,640,0.11099999999999997,44,0.0,0.0,0.026386683806777,28800,0.0,3.0310244408801843,98.0,0.17648610845208168,98.0,3520,0.2626824954058975,33.952858448028564,0.0003,0.07408545911312103,0.04812145425239578,-18.942602828145027,0.0817966383183375,1.4826472625136375
288,,143.01447,100.0,640,,44,,,0.026386683806777,28800,0.0,,,,,,,,,,,,,
292,0.0,144.30423,100.0,653,0.18899999999999997,45,0.0,0.0,0.026402827352285385,29600,0.0,2.664327952726887,98.0,0.17561762733384967,98.0,3584,0.2630181072745472,34.007812201976776,0.0003,0.07267558516468853,0.047706982819363475,-17.849543005228043,0.0819614949868992,1.0872030407190323
296,,144.30423,100.0,653,,45,,,0.026402827352285385,29600,0.0,,,,,,,,,,,,,
