#{"t_start": 1788620294.0384748, "env_id": null}
r,l,t
147.29881,100,4.349601
125.53972,100,4.349674
145.61975,100,4.349687
151.73332,100,4.349697
139.87137,100,4.349706
139.00743,100,4.349714
149.91486,100,4.349723
103.34422,100,4.349731
140.82794,100,27.276548
146.02484,100,27.276623
101.00877,100,27.276636
98.75486,100,27.276645
135.05232,100,27.276654
140.77997,100,27.276662
132.3742,100,27.27667
105.14468,100,27.276679
132.61356,100,40.35638
136.96933,100,40.356473
107.90638,100,40.356497
129.3168,100,40.356515
145.43439,100,40.356532
128.76508,100,40.356549
144.69594,100,40.356565
119.39492,100,40.356582
112.60435,100,63.08482
141.41199,100,63.084892
100.905266,100,63.084904
107.18806,100,63.084913
87.7928,100,63.084921
146.19003,100,63.084929
138.2558,100,63.084938
92.38294,100,63.084945
156.31303,100,75.7291
126.60596,100,75.729171
88.05593,100,75.729182
103.20059,100,75.729191
141.68704,100,75.7292
123.31858,100,75.729208
138.19464,100,75.729217
160.89769,100,75.729224
143.49321,100,98.064523
77.27846,100,98.064613
123.289314,100,98.064636
209.17891,100,98.064654
140.44875,100,98.06467
145.90852,100,98.064686
149.22566,100,98.064702
147.3582,100,98.064717
127.49748,100,110.80811
122.69327,100,110.808177
119.50795,100,110.808189
120.212875,100,110.808198
128.0935,100,110.808206
141.34106,100,110.808214
129.24129,100,110.808223
108.4895,100,110.808232
133.94719,100,133.408277
149.03711,100,133.408351
131.84283,100,133.408365
113.60509,100,133.408374
146.72923,100,133.408383
116.43591,100,133.408391
128.18542,100,133.4084
146.7918,100,133.408409
134.06447,100,155.989991
131.56563,100,155.990076
139.46956,100,155.990089
155.47362,100,155.990099
151.20323,100,155.990108
117.0444,100,155.990117
107.850044,100,155.990126
141.59598,100,155.990135
125.1587,100,168.63812
141.09297,100,168.638208
79.46526,100,168.638229
107.70594,100,168.638245
145.93793,100,168.638263
139.52654,100,168.638284
155.04744,100,168.638302
125.73891,100,168.638318
134.07585,100,191.297495
120.914185,100,191.297571
133.26416,100,191.297584
87.02993,100,191.297593
139.15996,100,191.297602
141.40718,100,191.297611
141.05971,100,191.29762
135.37302,100,191.297628
138.25734,100,204.627806
113.037254,100,204.627889
195.60571,100,204.62791
136.6577,100,204.627926
147.15366,100,204.627941
136.47725,100,204.627955
144.92296,100,204.627969
133.68927,100,204.627983
139.9335,100,226.947631
129.21788,100,226.94772
114.77962,100,226.947742
141.22217,100,226.947759
132.64136,100,226.947774
148.94275,100,226.947789
59.72596,100,226.947805
144.25467,100,226.94782
138.70343,100,239.816909
