#{"t_start": 1788151086.452667, "env_id": null}
r,l,t
147.29881,100,4.569064
125.53972,100,4.569153
145.61975,100,4.569175
151.73332,100,4.569191
139.87137,100,4.569206
139.00743,100,4.569221
149.91486,100,4.569237
103.34422,100,4.569251
145.1462,100,27.019367
141.1329,100,27.019455
110.178055,100,27.019477
134.2129,100,27.019494
149.30325,100,27.019509
146.68329,100,27.019524
144.45624,100,27.019539
154.92606,100,27.019554
133.25716,100,39.543901
143.95364,100,39.543991
139.76326,100,39.544013
143.87558,100,39.54403
156.0934,100,39.544046
126.07724,100,39.544062
135.75362,100,39.544078
145.95169,100,39.544094
162.74295,100,61.785121
152.498,100,61.785195
89.86896,100,61.785206
145.65594,100,61.785215
168.55106,100,61.785223
130.50395,100,61.785231
135.73216,100,61.78524
116.31231,100,61.785248
149.52269,100,74.720048
148.54099,100,74.720118
136.0657,100,74.720129
101.18908,100,74.720138
136.4841,100,74.720146
136.09998,100,74.720154
147.46342,100,74.720162
151.7347,100,74.72017
145.08289,100,96.674315
92.14623,100,96.674402
131.5757,100,96.674424
207.87578,100,96.674441
144.84962,100,96.674456
152.79395,100,96.674472
143.42342,100,96.674487
204.32703,100,96.674503
153.30626,100,109.588762
186.33992,100,109.588858
146.45132,100,109.58888
123.61656,100,109.588897
167.62819,100,109.588912
156.25368,100,109.588927
107.61348,100,109.588943
146.37985,100,109.588958
141.78217,100,131.957634
152.70634,100,131.957725
129.56116,100,131.957746
187.1722,100,131.957764
211.2166,100,131.957781
109.12418,100,131.957797
144.68874,100,131.957821
165.48387,100,131.957842
133.8721,100,154.468925
152.2197,100,154.468995
178.133,100,154.469007
149.06328,100,154.469015
173.76308,100,154.469023
142.16078,100,154.469031
111.156494,100,154.469039
142.42714,100,154.469047
134.61658,100,167.063887
145.42334,100,167.063977
150.28577,100,167.063998
153.3451,100,167.064014
138.9446,100,167.064029
132.70387,100,167.064044
145.52357,100,167.064059
155.39626,100,167.064074
143.83243,100,189.36278
161.59091,100,189.36286
151.09274,100,189.362872
186.225,100,189.362881
172.24481,100,189.362889
175.37683,100,189.362897
158.71574,100,189.362905
149.06659,100,189.362913
173.68849,100,202.392426
90.458824,100,202.392514
150.36447,100,202.392535
156.58575,100,202.392552
127.54679,100,202.392567
145.79265,100,202.392583
202.37494,100,202.392598
171.01,100,202.392613
152.69489,100,224.786058
149.99942,100,224.786135
98.542336,100,224.786148
156.08318,100,224.786156
162.87541,100,224.786164
153.3644,100,224.786173
124.08472,100,224.78618
163.86433,100,224.786188
169.08669,100,237.46052
147.02884,100,237.460614
75.11981,100,237.460637
144.18784,100,237.460654
154.60725,100,237.460671
125.86463,100,237.460688
79.4312,100,237.460704
163.7414,100,237.46072
120.073456,100,259.617762
109.414185,100,259.617861
170.62766,100,259.617883
152.56993,100,259.6179
114.188805,100,259.617916
164.06584,100,259.617932
157.97688,100,259.617947
95.26601,100,259.617962
189.96335,100,272.496589
80.88169,100,272.496679
160.19844,100,272.496701
126.38228,100,272.496718
204.82414,100,272.496734
161.65218,100,272.496749
147.54306,100,272.496765
126.66023,100,272.49678
129.71413,100,295.044219
168.03937,100,295.044287
155.52612,100,295.044298
141.0264,100,295.044307
206.65205,100,295.044315
138.49683,100,295.044323
144.7447,100,295.044331
158.27927,100,295.044338
171.3409,100,317.31584
150.58852,100,317.315923
147.74315,100,317.315944
173.20227,100,317.31596
142.52539,100,317.315977
130.95576,100,317.315992
159.8872,100,317.316008
196.76741,100,317.316023
143.15648,100,330.061481
145.84593,100,330.061571
120.536415,100,330.061591
151.79367,100,330.061608
169.38475,100,330.061623
174.14911,100,330.06164
116.001396,100,330.061657
132.59665,100,330.061673
146.85107,100,352.341631
162.79683,100,352.341717
128.09822,100,352.341738
127.930984,100,352.341754
148.03078,100,352.34177
143.6617,100,352.341785
177.00186,100,352.341801
139.78004,100,352.341828
149.849,100,365.206276
140.84882,100,365.206367
151.9988,100,365.206388
144.53508,100,365.206404
157.44434,100,365.20642
142.63753,100,365.206436
156.6082,100,365.206451
138.84868,100,365.206466
148.33609,100,387.118132
143.4859,100,387.118225
158.94292,100,387.118247
143.7062,100,387.118263
144.99924,100,387.118279
151.74817,100,387.118294
147.8933,100,387.11831
86.34129,100,387.118325
137.90948,100,399.970981
191.13466,100,399.971072
117.76672,100,399.971093
139.38535,100,399.971109
157.68137,100,399.971124
155.25058,100,399.971139
128.31592,100,399.971153
143.89146,100,399.971168
153.13817,100,422.17696
135.02156,100,422.17705
150.41533,100,422.17707
149.62639,100,422.177086
161.13472,100,422.177102
135.34816,100,422.177117
137.94763,100,422.177131
141.42342,100,422.177146
140.15088,100,444.328072
107.17769,100,444.328146
165.01431,100,444.328158
93.77416,100,444.328167
139.70584,100,444.328175
115.2268,100,444.328183
173.21234,100,444.328191
119.92981,100,444.328199
142.07172,100,456.917448
162.07036,100,456.917543
80.24908,100,456.917564
181.59616,100,456.917581
166.34671,100,456.917597
140.9326,100,456.917613
162.44919,100,456.917629
147.31352,100,456.917644
141.13484,100,479.526835
116.42162,100,479.526911
145.60593,100,479.526923
149.55225,100,479.526932
137.78682,100,479.52694
139.54971,100,479.526949
138.17307,100,479.526957
169.07487,100,479.526965
146.68336,100,492.16942
151.6848,100,492.169506
147.1905,100,492.169528
153.10413,100,492.169544
161.36131,100,492.16956
125.03538,100,492.169575
155.84659,100,492.169591
114.15949,100,492.169606
125.05764,100,515.038666
150.98772,100,515.038758
154.32655,100,515.03878
129.9055,100,515.038797
131.87688,100,515.038825
152.7937,100,515.038845
162.92432,100,515.038861
121.0977,100,515.038877
153.99348,100,528.006922
133.93594,100,528.007013
180.89572,100,528.007035
76.763794,100,528.00705
178.30371,100,528.007066
147.01498,100,528.007082
154.85437,100,528.007097
150.0354,100,528.007111
138.30956,100,550.246228
146.73654,100,550.2463
174.16583,100,550.246312
220.24448,100,550.246321
154.26611,100,550.246328
133.00513,100,550.246336
151.95923,100,550.246344
117.9358,100,550.246352
175.7727,100,562.683094
182.00372,100,562.683184
124.507774,100,562.683206
173.94543,100,562.683222
145.54317,100,562.683238
133.5569,100,562.683254
181.17926,100,562.683269
139.71469,100,562.683285
157.89111,100,585.170349
145.63106,100,585.170432
153.83095,100,585.170452
164.30894,100,585.170468
148.63156,100,585.170482
195.683,100,585.170496
109.24362,100,585.17051
155.81189,100,585.170524
151.37085,100,607.283176
149.29797,100,607.283244
142.15375,100,607.283255
147.43042,100,607.283264
152.32079,100,607.283273
152.02277,100,607.283281
163.59174,100,607.283289
183.31062,100,607.283297
164.92441,100,619.741275
106.7932,100,619.741363
142.89952,100,619.741385
162.86417,100,619.741401
147.06439,100,619.741417
181.00476,100,619.741432
136.49513,100,619.741447
139.49994,100,619.741463
95.93256,100,641.974044
112.19719,100,641.974115
176.16441,100,641.974126
142.55319,100,641.974134
156.99503,100,641.974142
178.7599,100,641.97415
135.78195,100,641.974159
127.02632,100,641.974166
209.48737,100,654.924743
157.84337,100,654.924844
138.6717,100,654.924869
158.5462,100,654.924886
178.38489,100,654.924902
110.75686,100,654.924918
140.87285,100,654.924933
122.291595,100,654.924949
144.20932,100,677.234245
131.67279,100,677.234334
172.73174,100,677.234355
117.92563,100,677.234372
160.38783,100,677.234388
164.90215,100,677.234403
141.11217,100,677.234419
171.98843,100,677.234436
217.00977,100,690.356015
179.28024,100,690.356106
100.656044,100,690.356128
134.50502,100,690.356145
148.40517,100,690.356161
136.88768,100,690.356177
121.449875,100,690.356192
151.04361,100,690.356208
145.00977,100,712.581716
181.98486,100,712.581808
168.7508,100,712.581843
167.78726,100,712.58186
146.55493,100,712.581876
130.77226,100,712.581892
191.1549,100,712.581907
81.39452,100,712.581939
137.93886,100,735.624809
88.353325,100,735.624886
150.61864,100,735.624898
222.49927,100,735.624907
136.1904,100,735.624915
172.62004,100,735.624923
159.22438,100,735.624932
136.93921,100,735.62494
140.68753,100,748.438335
155.86604,100,748.438426
162.75363,100,748.438449
153.5122,100,748.438465
145.1195,100,748.438481
199.63104,100,748.438497
142.07033,100,748.438513
179.08502,100,748.438528
171.26712,100,770.905848
133.09735,100,770.905923
140.24393,100,770.905935
176.82477,100,770.905943
163.94504,100,770.905951
182.30722,100,770.90596
147.00552,100,770.905968
164.19708,100,770.905977
131.68651,100,783.817375
139.58023,100,783.817463
134.27809,100,783.817485
136.35774,100,783.817502
155.94801,100,783.817518
195.50963,100,783.817533
179.94365,100,783.817548
148.31348,100,783.817563
177.41354,100,806.305176
138.07513,100,806.305266
174.16484,100,806.305288
160.35939,100,806.305305
171.19954,100,806.305322
162.82762,100,806.305339
147.93979,100,806.305356
174.04153,100,806.305373
120.1634,100,818.920401
155.8662,100,818.92049
161.41362,100,818.920511
138.84167,100,818.920527
153.36867,100,818.920542
122.07167,100,818.920557
150.75998,100,818.920572
163.00928,100,818.920587
160.0783,100,840.98363
128.7364,100,840.983724
156.7184,100,840.983746
133.4911,100,840.983762
93.82296,100,840.983778
139.51532,100,840.983793
118.55129,100,840.983809
144.70067,100,840.983838
138.44487,100,853.833675
