rollout/ep_rew_mean,time/time_elapsed,rollout/success_rate,time/total_timesteps,reward/goal_reward,rollout/ep_len_mean,time/fps,train/std,reward/approach_reward,reward/static_reward,reward/grasp_reward,time/episodes,reward/info_exist_reward,train/critic_aux_loss,train/learning_rate,train/critic_loss,train/actor_loss,train/ent_coef_loss,train/n_updates,train/actor_aux_loss,train/aux_weight,train/target_weight,train/actor_target_loss,train/ent_coef,train/critic_target_loss
137.7912,1,0.0,800,0.0,100.0,407,0.025476466864347458,2.4975722345635676,0.0,0.0,4,0.2909999999999999,,,,,,,,,,,,
137.7912,1,0.0,800,,100.0,406,0.025476466864347458,,,,8,,,,,,,,,,,,,
139.27301,24,0.0,1600,0.0,100.0,65,0.02551884762942791,2.7589988057840253,0.0,0.0,12,0.07499999999999998,0.39263766072690487,0.0003,50.48415285348892,52.95507770776749,-10.884390071034431,128,0.43315657787024975,100.0,100.0,0.10577405826188624,0.19947355450131,0.10876222187653184
139.27301,24,0.0,1600,,100.0,65,0.02551884762942791,,,,16,,,,,,,,,,,,,
139.71223,36,0.0,2400,0.0,100.0,64,0.025535203516483307,2.686332361135724,0.0,0.0,20,0.03899999999999999,0.3853939245454967,0.0003,47.380477011203766,47.615718126297,-11.521596021950245,192,0.4046498965471983,100.0,100.0,0.08561505889520049,0.1954173392150551,0.08678212470840663
139.71223,36,0.0,2400,,100.0,64,0.025535203516483307,,,,24,,,,,,,,,,,,,
139.21747,59,0.0,3200,0.0,100.0,54,0.025566341355443,2.6813591899179703,0.0,0.0,28,0.036,0.4143631015904248,0.0003,48.80651915073395,44.47733896970749,-13.896536752581596,320,0.3971345159225166,100.0,100.0,0.07148477510781959,0.18736681179143488,0.07209283229894936
139.21747,59,0.0,3200,,100.0,54,0.025566341355443,,,,32,,,,,,,,,,,,,
139.05148,72,0.0,4000,0.0,100.0,55,0.02558179758489132,2.4427015774531777,0.0,0.0,36,0.15,0.39572569727897644,0.0003,46.08898377418518,40.25686913728714,-13.651809945702553,384,0.3647246160544455,100.0,100.0,0.06424877583049238,0.1834222129546106,0.06385332677746192
139.05148,72,0.0,4000,,100.0,55,0.02558179758489132,,,,40,,,,,,,,,,,,,
141.33614,94,0.0,4800,0.0,100.0,51,0.025613492354750633,2.922637124365809,0.0,0.0,44,0.07499999999999998,0.3785849940031767,0.0003,44.52635312080383,36.57684910297394,-13.25895120203495,512,0.3296819473616779,100.0,100.0,0.06837674207054079,0.17632026481442153,0.06515593134099618
141.33614,94,0.0,4800,,100.0,51,0.025613492354750633,,,,48,,,,,,,,,,,,,
142.3522,106,0.0,5600,0.0,100.0,52,0.025629546493291855,2.979422335768403,0.0,0.0,52,0.07499999999999998,0.38186372397467494,0.0003,45.10098576545715,34.552017122507095,-12.61052605509758,576,0.30802248138934374,100.0,100.0,0.07195073470938951,0.17304100352339447,0.06769340590108186
142.3522,106,0.0,5600,,100.0,52,0.025629546493291855,,,,56,,,,,,,,,,,,,
143.9603,129,0.0,6400,0.0,100.0,49,0.02566387690603733,3.2777607360598875,0.0,0.0,60,0.08399999999999999,0.36641755793243647,0.0003,42.90851789712906,30.13596773147583,-13.324669942259789,704,0.28109308145940304,100.0,100.0,0.06411102082347497,0.16672550537623465,0.06103449879446998
143.9603,129,0.0,6400,,100.0,49,0.02566387690603733,,,,64,,,,,,,,,,,,,
144.39243,151,0.0,7200,0.0,100.0,47,0.025695381686091423,2.6995062296448267,0.0,0.0,68,0.09899999999999999,0.36124743428081274,0.0003,44.94289928674698,31.33546933531761,-13.25792221724987,832,0.2755505368113518,100.0,100.0,0.08950903569348156,0.16061434778384864,0.08651735191233456
144.39243,151,0.0,7200,,100.0,47,0.025695381686091423,,,,72,,,,,,,,,,,,,
144.40617,164,0.0,8000,0.0,100.0,48,0.025711527094244957,2.6200132596503316,0.0,0.0,76,0.03599999999999999,0.3517446033656597,0.0003,44.36580699682236,29.989992886781693,-13.193007662892342,896,0.2625752806197852,100.0,100.0,0.09290061995852739,0.15765395388007164,0.09006966324523091
144.40617,164,0.0,8000,,100.0,48,0.025711527094244957,,,,80,,,,,,,,,,,,,
146.02998,186,0.0,8800,0.0,100.0,47,0.025743456557393074,2.914499696859248,0.0,0.0,84,0.0,0.33634631242603064,0.0003,43.07063537836075,27.470089226961136,-12.894489511847496,1024,0.24440040439367294,100.0,100.0,0.0931243320228532,0.1521917732898146,0.09236983652226627
146.02998,186,0.0,8800,,100.0,47,0.025743456557393074,,,,88,,,,,,,,,,,,,
