#{"t_start": 1788158506.6490166, "env_id": null}
r,l,t
228.29872,100,4.543012
255.13979,100,4.54308
280.61984,100,4.543092
255.68324,100,4.543101
274.87134,100,4.543109
274.0074,100,4.543117
267.36484,100,4.543125
238.34416,100,4.543133
202.82811,100,27.260722
222.22598,100,27.2608
196.7598,100,27.260811
269.33044,100,27.26082
236.31311,100,27.260827
238.94151,100,27.260835
179.5263,100,27.260843
291.6879,100,27.260851
163.07019,100,40.354972
183.67484,100,40.355046
142.97073,100,40.355059
247.96153,100,40.355069
210.86563,100,40.355078
155.35838,100,40.355087
155.4931,100,40.355096
231.22675,100,40.355104
257.53415,100,64.01324
214.71556,100,64.013316
230.53139,100,64.013329
239.95723,100,64.013338
368.84702,100,64.013347
210.4787,100,64.013355
278.42484,100,64.013364
186.80832,100,64.013372
264.7224,100,76.976535
280.16855,100,76.976627
167.70152,100,76.976648
290.5585,100,76.976664
201.69412,100,76.97668
206.91129,100,76.976695
271.82776,100,76.976711
284.6649,100,76.976726
174.77426,100,99.522224
202.1013,100,99.522301
201.69382,100,99.522313
269.9902,100,99.522323
172.61108,100,99.522331
192.50902,100,99.52234
285.14655,100,99.522349
173.92117,100,99.522357
149.01764,100,112.323549
214.41902,100,112.323623
176.90948,100,112.323635
214.42688,100,112.323644
265.88837,100,112.323654
223.09326,100,112.323663
197.23979,100,112.323672
158.93275,100,112.32368
195.18523,100,135.073014
225.30449,100,135.07309
268.0663,100,135.073103
162.66937,100,135.073112
250.0905,100,135.073123
265.15265,100,135.073133
214.54997,100,135.073143
236.79884,100,135.073153
199.50272,100,157.638966
228.69312,100,157.639045
215.86546,100,157.639057
228.63649,100,157.639065
178.03322,100,157.639074
271.0795,100,157.639082
159.75053,100,157.63909
278.03653,100,157.639098
156.45755,100,170.314644
175.60896,100,170.314735
249.48444,100,170.314758
203.78514,100,170.314774
209.67143,100,170.31479
173.01758,100,170.314806
277.61606,100,170.314821
170.75627,100,170.314836
182.62636,100,192.584064
207.7733,100,192.584152
162.58913,100,192.584173
199.53792,100,192.58419
240.0272,100,192.584205
190.06674,100,192.58422
196.24638,100,192.584236
154.43433,100,192.584251
190.45995,100,205.690793
176.49023,100,205.690867
292.3546,100,205.69088
288.55875,100,205.69089
224.76642,100,205.690899
212.47113,100,205.690908
226.1985,100,205.690917
285.85718,100,205.690925
272.24957,100,228.572254
250.20729,100,228.572326
239.78525,100,228.572338
331.67676,100,228.572348
219.24702,100,228.572357
163.20306,100,228.572366
243.48582,100,228.572375
188.58191,100,228.572384
208.88553,100,241.492101
233.73093,100,241.492195
135.96834,100,241.492219
296.91785,100,241.492237
208.44022,100,241.492253
188.1599,100,241.49227
