time/fps,reward/info_exist_reward,reward/grasp_reward,train/std,reward/static_reward,time/total_timesteps,rollout/success_rate,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,reward/goal_reward,time/time_elapsed,reward/approach_reward,train/actor_target_loss,train/ent_coef_loss,train/critic_aux_loss,train/actor_aux_loss,train/actor_loss,train/target_weight,train/ent_coef,train/aux_weight,train/learning_rate,train/critic_loss,train/n_updates,train/critic_target_loss
350,2.91,0.0,0.025476466864347458,0.0,800,0.0,100.0,4,259.29114,0.0,2,2.4975722345635676,,,,,,,,,,,,
350,,,0.025476466864347458,,800,0.0,100.0,8,259.29114,,2,,,,,,,,,,,,,
64,0.75,0.0,0.02551856078207493,0.0,1600,0.0,100.0,12,244.4964,0.0,24,2.755115503490549,0.10557220014743507,-10.888132207095623,0.39254067093133926,0.43390675773844123,51.52655625343323,100.0,0.19946727715432644,100.0,0.0003,50.62802708148956,128,0.10872892127372324
63,,,0.02551856078207493,,1600,0.0,100.0,16,244.4964,,25,,,,,,,,,,,,,
63,0.0,0.0,0.025534996762871742,0.0,2400,0.0,100.0,20,225.10681,0.0,38,2.6953263910862844,0.085495111416094,-11.391076743602753,0.3948220503516495,0.40360498102381825,46.21688538789749,100.0,0.19543833192437887,100.0,0.0003,48.62388753890991,192,0.08715132030192763
63,,,0.025534996762871742,,2400,0.0,100.0,24,225.10681,,38,,,,,,,,,,,,,
51,1.74,0.12,0.02556600235402584,0.0,3200,0.0,100.0,28,230.93317,0.03139539928131395,61,3.0797728302837357,0.07130088476696983,-13.947669804096222,0.4104423266835511,0.3911906825378537,42.25087583065033,100.0,0.1873317884746939,100.0,0.0003,48.54182356595993,320,0.07220067380694672
51,,,0.02556600235402584,,3200,0.0,100.0,32,230.93317,,61,,,,,,,,,,,,,
53,2.01,0.0,0.02558164671063423,0.0,4000,0.0,100.0,36,233.95273,0.0,74,2.7121902820094674,0.0656937847379595,-13.343705236911774,0.4039799179881811,0.37032963475212455,39.177335262298584,100.0,0.1834138936828822,100.0,0.0003,47.21830236911774,384,0.06538503163028508
53,,,0.02558164671063423,,4000,0.0,100.0,40,233.95273,,74,,,,,,,,,,,,,
49,0.39,0.0,0.02561303600668907,0.0,4800,0.0,100.0,44,229.80952,0.0,97,2.42334179197446,0.06975518690887839,-12.962372183799744,0.3918726434931159,0.3229080415330827,33.778440952301025,100.0,0.17644189368002117,100.0,0.0003,46.25231355428696,512,0.06792618398321792
49,,,0.02561303600668907,,4800,0.0,100.0,48,229.80952,,97,,,,,,,,,,,,,
50,0.15,0.0,0.025629591196775436,0.0,5600,0.0,100.0,52,225.54973,0.0,110,2.521244482541352,0.07349899550899863,-12.198742285370827,0.3840155843645334,0.3073960258625448,32.228999346494675,100.0,0.17321086092852056,100.0,0.0003,45.67251247167587,576,0.0700276730931364
50,,,0.025629591196775436,,5600,0.0,100.0,56,225.54973,,110,,,,,,,,,,,,,
48,0.12,0.0,0.025663860142230988,0.0,6400,0.0,100.0,60,225.7594,0.0,132,2.8971454780849344,0.06703575630672276,-12.748788461089134,0.3559954762458801,0.2736917487345636,27.016417741775513,100.0,0.1670746172312647,100.0,0.0003,42.4068678021431,704,0.06487295177066699
48,,,0.025663860142230988,,6400,0.0,100.0,64,225.7594,,132,,,,,,,,,,,,,
46,0.18,0.0,0.02569698542356491,0.0,7200,0.0,100.0,68,225.11388,0.0,155,2.8398313517966516,0.09663434524554759,-12.741465598344803,0.34115302469581366,0.25655055581592023,27.165938049554825,100.0,0.16110102622769773,100.0,0.0003,44.1100167632103,832,0.09675651497673243
46,,,0.02569698542356491,,7200,0.0,100.0,72,225.11388,,155,,,,,,,,,,,,,
47,1.11,0.0,0.025713292881846428,0.0,8000,0.0,100.0,76,222.80746,0.0,168,2.600466424762624,0.10009242652449757,-12.824458099901676,0.3201495395042002,0.24735769792459905,26.003347039222717,100.0,0.15815141540952027,100.0,0.0003,42.14619588851929,896,0.09759760147426277
47,,,0.025713292881846428,,8000,0.0,100.0,80,222.80746,,168,,,,,,,,,,,,,
46,0.0,0.0,0.02574768476188183,0.0,8800,0.0,100.0,84,219.97609,0.0,190,2.4860521404801084,0.10175962850917131,-12.404556855559349,0.3193218861706555,0.23981670592911541,24.486318975687027,100.0,0.15271718474105,100.0,0.0003,42.18734383583069,1024,0.09894507529679686
46,,,0.02574768476188183,,8800,0.0,100.0,88,219.97609,,190,,,,,,,,,,,,,
